Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,Cari_Oran,NetBorc_FAVOK,ROE_%,FinansGid_Gelir_%,Hisse
2020-03-28,38.36,42.54,1.5,1.18,14.34,1.3,AAPL
2020-06-27,38.0,42.28,1.47,1.34,15.57,1.17,AAPL
2020-09-26,38.16,40.16,1.36,1.16,19.4,0.98,AAPL
2020-12-26,39.78,24.35,1.16,0.52,43.42,0.57,AAPL
2021-03-27,42.51,27.77,1.14,0.66,34.16,0.75,AAPL
2021-06-26,43.29,31.57,1.06,0.79,33.83,0.82,AAPL
2021-09-25,42.2,32.38,1.07,0.94,32.57,0.81,AAPL
2021-12-25,43.76,23.51,1.04,0.48,48.14,0.56,AAPL
2022-03-26,43.75,29.56,0.93,0.68,37.11,0.71,AAPL
2022-06-25,43.26,35.69,0.86,0.87,33.46,0.87,AAPL
2022-09-24,42.26,34.65,0.88,0.96,40.89,0.92,AAPL
2022-12-31,42.96,28.44,0.94,0.57,52.88,0.86,AAPL
2023-04-01,44.26,32.54,0.94,0.66,38.87,0.98,AAPL
2023-07-01,44.52,36.84,0.98,0.75,32.98,1.22,AAPL
2023-09-30,45.17,33.29,0.99,0.77,36.94,1.12,AAPL
2023-12-30,45.87,26.4,1.07,0.39,45.77,,AAPL
2024-03-30,46.58,34.0,1.04,0.58,31.86,,AAPL
2024-06-29,46.26,36.11,0.95,0.67,32.15,,AAPL
2024-09-28,46.22,32.56,0.87,0.69,25.88,,AAPL
2024-12-28,46.88,26.5,0.92,0.36,54.42,,AAPL
2025-03-29,47.05,34.05,0.82,0.55,37.1,,AAPL
2025-06-28,46.49,35.49,0.87,0.53,35.6,,AAPL
2025-09-27,47.18,32.92,0.89,0.53,37.25,,AAPL
2025-12-27,48.16,26.55,0.97,0.21,47.73,,AAPL
