Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-02-28,85.38,64.49,1.07,1.23,0.44,9.13,ADBE
2020-05-29,86.73,62.55,0.86,1.29,0.34,10.11,ADBE
2020-08-28,86.76,61.79,0.84,1.44,0.19,8.15,ADBE
2020-11-27,87.5,59.45,0.79,1.48,0.04,16.96,ADBE
2021-03-05,88.55,57.95,0.77,1.27,0.19,9.31,ADBE
2021-06-04,88.42,58.54,0.73,1.31,0.07,8.06,ADBE
2021-09-03,88.13,58.45,0.69,1.39,0.01,8.41,ADBE
2021-12-03,87.66,58.34,0.68,1.25,0.12,8.33,ADBE
2022-03-04,87.99,57.87,0.66,1.04,0.27,9.19,ADBE
2022-06-03,87.71,60.25,0.64,1.07,0.18,8.42,ADBE
2022-09-02,87.68,61.82,0.63,1.14,0.11,7.9,ADBE
2022-12-02,87.45,61.97,0.62,1.11,0.06,8.37,ADBE
2023-03-03,87.8,61.19,0.69,1.12,0.01,8.78,ADBE
2023-06-02,88.12,61.73,0.54,1.16,-0.18,8.73,ADBE
2023-09-01,88.14,60.63,0.55,1.25,-0.31,8.89,ADBE
2023-12-01,87.44,60.51,0.55,1.34,-0.37,8.98,ADBE
2024-03-01,88.61,80.25,0.52,1.05,-0.45,4.01,ADBE
2024-05-31,88.74,59.99,0.77,1.16,-0.18,10.6,ADBE
2024-08-30,89.76,58.96,0.94,1.11,-0.12,11.58,ADBE
2024-11-29,89.01,60.78,0.89,1.07,-0.17,11.93,ADBE
2025-02-28,89.11,57.52,1.09,1.18,-0.02,13.83,ADBE
2025-05-30,89.14,59.71,1.16,0.99,0.17,14.77,ADBE
2025-08-29,89.28,59.35,1.12,1.02,0.17,15.06,ADBE
2025-11-28,88.92,58.95,1.07,1.0,0.12,15.97,ADBE
2026-02-27,89.62,57.22,0.98,0.91,0.03,16.52,ADBE
