Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-03-31,41.34,87.21,0.53,1.08,1.0,3.88,AMZN
2020-06-30,40.77,83.88,0.45,1.18,0.78,7.11,AMZN
2020-09-30,40.6,84.13,0.45,1.11,0.94,7.65,AMZN
2020-12-31,36.85,85.15,0.33,1.05,0.67,7.73,AMZN
2021-03-31,42.5,80.78,0.37,1.05,0.7,7.85,AMZN
2021-06-30,43.25,84.25,0.38,1.2,0.97,6.78,AMZN
2021-09-30,43.21,89.87,0.44,1.12,1.53,2.62,AMZN
2021-12-31,39.72,93.66,0.35,1.14,0.79,10.36,AMZN
2022-03-31,42.89,92.65,0.41,0.96,4.37,-2.87,AMZN
2022-06-30,45.21,93.95,0.48,0.95,2.85,-1.54,AMZN
2022-09-30,44.71,95.56,0.49,0.94,1.68,2.09,AMZN
2022-12-31,42.6,95.69,0.47,0.94,1.67,0.19,AMZN
2023-03-31,46.77,91.99,0.65,0.92,1.43,2.05,AMZN
2023-06-30,48.38,88.18,0.63,0.95,1.12,4.0,AMZN
2023-09-30,47.57,83.56,0.56,0.98,0.87,5.4,AMZN
2023-12-31,45.54,82.94,0.42,1.05,0.55,5.26,AMZN
2024-03-31,49.32,78.34,0.45,1.07,0.61,4.81,AMZN
2024-06-30,50.14,80.22,0.4,1.1,0.55,5.7,AMZN
2024-09-30,49.03,77.65,0.38,1.09,0.46,5.91,AMZN
2024-12-31,47.34,76.15,0.3,1.06,0.34,7.0,AMZN
2025-03-31,50.55,76.61,0.35,1.05,0.46,5.6,AMZN
2025-06-30,51.81,77.94,0.31,1.02,0.52,5.44,AMZN
2025-09-30,50.79,80.96,0.3,1.01,0.38,5.73,AMZN
2025-12-31,48.47,75.85,0.32,1.05,0.35,5.16,AMZN
