Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse,BKM_Filtre,FGBK_Filtre,FGG_Filtre,FK_Filtre,FS_Filtre,CO_Filtre,NB_Filtre,ROE_Filtre,EPS_Artis_Filtre,Icsel_Deger,Toplam_Gecilen
,,,,,,,,,ACSEL,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,-6.68,-132.71,9.51,1.38,-17.63,-8.3,-3.5714,-7.25,ACSEL,GECMEDI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,26.26,22.08,10.5,1.47,1.55,-1.76,-0.792,-32.67,ACSEL,GECMEDI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,-14.48,-74.52,12.97,1.41,-172.11,-5.83,-2.7292,-9.48,ACSEL,GECMEDI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,4.37,121.12,10.88,1.29,-15.76,-5.24,-2.4746,-10.46,ACSEL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,1.79,354.65,5.96,1.18,2.76,-1.24,-0.6259,-41.34,ACSEL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,53.38,59.87,18.56,1.37,0.93,5.26,0.2812,29.99,ADEL,GECTI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,27.8,2
,45.09,62.04,13.02,1.64,0.87,3.34,0.1992,42.34,ADEL,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,19.69,4
,49.78,173.13,42.62,2.17,-4.29,-12.59,-0.702,-12.02,ADEL,GECTI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,38.52,267.87,47.8,1.8,-3.95,-14.42,-0.7724,-10.92,ADEL,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,,2
,45.17,73.54,22.5,1.49,1.79,3.53,0.1855,45.48,ADEL,GECTI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,18.34,2
,,,,,,,,,ADESE,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,36.21,94.75,9.64,6.15,-0.07,-4.51,-0.086,-2.94,ADESE,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,64.13,30.97,6.98,3.23,0.11,5.23,0.0992,2.55,ADESE,GECTI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,9.81,4
