Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse
2024-06-30,,,,,,,,,THYAO.IS
2024-09-30,27.45,29.89,2.25,0.98,1.32,8.5,1.124,65.56,THYAO.IS
2024-12-31,15.81,29.76,3.55,1.01,1.64,3.69,0.5183,142.17,THYAO.IS
2025-03-31,6.73,142.55,2.6,0.9,4.59,-0.23,-0.032,-2300.49,THYAO.IS
2025-06-30,19.15,42.01,2.21,0.92,2.02,3.66,0.5052,145.85,THYAO.IS
2025-09-30,22.11,33.18,2.2,0.98,1.38,6.76,1.0032,73.46,THYAO.IS
2024-06-30,,,,,,,,,SISE.IS
2024-09-30,,,,,,,,,SISE.IS
2024-12-31,21.19,125.95,14.1,1.69,2.52,-0.61,-0.3725,-29.72,SISE.IS
2025-03-31,23.68,114.16,12.37,1.35,2.2,0.62,0.4094,27.04,SISE.IS
2025-06-30,29.44,84.13,13.98,1.2,1.95,1.22,0.8656,12.79,SISE.IS
2025-09-30,30.02,100.77,10.53,1.25,2.16,0.64,0.4776,23.18,SISE.IS
2025-12-31,27.12,105.07,12.81,1.26,1.88,1.7,1.3498,8.2,SISE.IS
2024-06-30,,,,,,,,,EREGL.IS
2024-09-30,8.88,48.43,6.46,2.17,3.19,0.35,0.1191,60.24,EREGL.IS
2024-12-31,4.37,95.81,5.65,2.4,1.79,1.14,0.4008,17.9,EREGL.IS
2025-03-31,7.1,57.77,4.78,2.62,2.7,0.17,0.0634,113.11,EREGL.IS
2025-06-30,9.34,62.53,6.4,2.35,4.54,0.49,0.1944,36.91,EREGL.IS
2025-12-31,11.03,41.41,4.09,2.14,1.8,-0.65,-0.2785,-25.76,EREGL.IS
2024-06-30,,,,,,,,,ASELS.IS
2024-09-30,29.08,35.26,4.42,1.52,3.05,2.15,0.5858,145.64,ASELS.IS
2024-12-31,32.59,27.4,2.68,1.52,0.33,6.53,2.0081,42.48,ASELS.IS
2025-03-31,29.93,38.56,2.47,1.5,-12.49,1.45,0.4989,171.01,ASELS.IS
2025-06-30,33.69,25.94,3.04,1.34,2.84,2.36,0.8757,97.42,ASELS.IS
2025-12-31,32.75,26.87,3.65,1.39,0.12,7.31,4.0129,21.26,ASELS.IS
2024-06-30,,,,,,,,,KCHOL.IS
2024-09-30,,,,,,,,,KCHOL.IS
2024-12-31,13.26,88.38,2.9,0.87,4.22,0.46,1.2667,38.49,KCHOL.IS
2025-03-31,17.11,81.64,2.47,0.91,5.13,-0.25,-0.5582,-87.34,KCHOL.IS
2025-06-30,17.17,76.22,2.5,0.89,4.23,1.3,3.0505,15.98,KCHOL.IS
2025-09-30,16.49,74.41,2.5,0.9,3.85,1.19,3.0177,16.15,KCHOL.IS
2025-12-31,17.29,78.92,3.13,0.87,3.49,1.13,3.0173,16.16,KCHOL.IS
2024-06-30,,,,,,,,,AKBNK.IS
2024-09-30,,,296.28,,,3.91,1.7367,10.91,AKBNK.IS
2024-12-31,,,295.5,,,3.84,1.7752,10.67,AKBNK.IS
2025-03-31,,,235.35,,,5.65,2.6412,7.17,AKBNK.IS
2025-06-30,,,296.33,,,4.3,2.1394,8.86,AKBNK.IS
2025-12-31,,,202.24,,,5.91,3.5253,5.38,AKBNK.IS
2024-06-30,,,,,,,,,GARAN.IS
2024-09-30,,,167.75,,,7.31,5.2658,6.58,GARAN.IS
2024-12-31,,,143.68,,,7.57,5.9456,5.82,GARAN.IS
2025-03-31,,,143.56,,,7.4,5.9751,5.79,GARAN.IS
2025-06-30,,,148.39,,,7.38,6.6297,5.22,GARAN.IS
2025-12-31,,,125.06,,,5.94,6.2853,5.51,GARAN.IS
2024-06-30,,,,,,,,,YKBNK.IS
2024-09-30,,,323.03,,,2.62,0.592,15.19,YKBNK.IS
2024-12-31,,,263.21,,,3.43,0.7827,11.49,YKBNK.IS
2025-03-31,,,189.8,,,5.55,1.3517,6.65,YKBNK.IS
2025-06-30,,,207.58,,,5.11,1.3413,6.71,YKBNK.IS
2025-12-31,,,180.72,,,3.63,1.0986,8.19,YKBNK.IS
2024-06-30,,,,,,,,,BIMAS.IS
2024-09-30,,,,,,,,,BIMAS.IS
2024-12-31,18.06,89.22,0.99,0.99,0.79,3.07,7.9818,21.55,BIMAS.IS
2025-03-31,17.5,103.13,1.05,1.01,0.6,2.05,4.5626,37.7,BIMAS.IS
2025-06-30,20.55,87.44,1.12,0.95,0.86,1.99,4.5426,37.86,BIMAS.IS
2025-09-30,20.05,80.75,1.05,1.01,0.58,3.47,8.8966,19.33,BIMAS.IS
2025-12-31,19.25,80.92,1.08,1.03,0.68,4.46,12.4462,13.82,BIMAS.IS
2024-06-30,,,,,,,,,TCELL.IS
2024-09-30,27.32,38.01,7.21,1.82,0.25,10.91,8.7459,3.17,TCELL.IS
2024-12-31,25.3,49.24,4.56,1.25,0.55,1.59,1.3641,20.31,TCELL.IS
2025-03-31,28.4,38.28,7.2,1.73,0.46,1.47,1.4161,19.56,TCELL.IS
2025-06-30,27.24,36.81,6.44,1.69,0.57,1.91,1.93,14.35,TCELL.IS
2025-09-30,29.25,38.4,5.3,1.75,0.51,2.22,2.48,11.17,TCELL.IS
