Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse
2024-06-30,,,,,,,,,ACSEL
2024-09-30,-6.68,-132.71,9.51,1.38,-17.63,-8.3,-3.5714,-7.25,ACSEL
2024-12-31,26.26,22.08,10.5,1.47,1.55,-1.76,-0.792,-32.67,ACSEL
2025-03-31,-14.48,-74.52,12.97,1.41,-172.11,-5.83,-2.7292,-9.48,ACSEL
2025-06-30,4.37,121.12,10.88,1.29,-15.76,-5.24,-2.4746,-10.46,ACSEL
2025-09-30,1.79,354.65,5.96,1.18,2.76,-1.24,-0.6259,-41.34,ACSEL
2024-06-30,53.38,59.87,18.56,1.37,0.93,5.26,0.2812,29.99,ADEL
2024-09-30,45.09,62.04,13.02,1.64,0.87,3.34,0.1992,42.34,ADEL
2024-12-31,49.78,173.13,42.62,2.17,-4.29,-12.59,-0.702,-12.02,ADEL
2025-03-31,38.52,267.87,47.8,1.8,-3.95,-14.42,-0.7724,-10.92,ADEL
2025-06-30,45.17,73.54,22.5,1.49,1.79,3.53,0.1855,45.48,ADEL
2024-06-30,,,,,,,,,ADESE
2024-09-30,36.21,94.75,9.64,6.15,-0.07,-4.51,-0.086,-2.94,ADESE
2024-12-31,64.13,30.97,6.98,3.23,0.11,5.23,0.0992,2.55,ADESE
2025-03-31,54.73,63.91,12.47,3.34,0.73,-2.06,-0.0424,-5.95,ADESE
2025-06-30,47.67,1.79,10.37,3.2,0.04,3.22,0.0728,3.47,ADESE
2025-09-30,49.42,28.76,2.95,3.2,0.94,-0.95,-0.0229,-11.03,ADESE
2024-06-30,,,,,,,,,AFYON
2024-09-30,,,,,,,,,AFYON
2024-12-31,27.66,38.63,0.67,2.8,-0.77,3.95,0.5895,7.36,AFYON
2025-03-31,27.52,23.33,0.03,2.08,-0.99,1.41,0.2204,19.69,AFYON
2025-06-30,-5.19,-57.16,0.02,2.48,3.81,-1.52,-0.2494,-17.4,AFYON
2025-09-30,24.99,8.03,0.0,2.98,-0.66,1.1,0.1948,22.28,AFYON
2025-12-31,24.69,17.65,0.0,2.36,-0.63,2.24,0.4246,10.22,AFYON
2024-06-30,,,,,,,,,AGESA
2024-09-30,,,,,,,,,AGESA
2024-12-31,,,,,,16.17,4.8956,11.45,AGESA
2025-03-31,,,,,,21.46,6.5723,8.53,AGESA
2025-06-30,,,,,,20.33,7.9134,7.08,AGESA
2025-09-30,,,,,,17.29,8.2645,6.78,AGESA
2025-12-31,,,,,,14.47,8.1113,6.91,AGESA
2024-06-30,,,,,,,,,AGHOL
2024-09-30,,,,,,,,,AGHOL
2024-12-31,28.22,88.65,8.29,1.02,0.48,-1.86,-0.8926,-8.15,AGHOL
2025-03-31,25.4,96.12,8.0,0.94,0.92,0.6,0.2381,30.56,AGHOL
2025-06-30,28.5,77.18,7.77,0.93,0.79,0.43,0.1757,41.41,AGHOL
2025-09-30,30.58,68.83,7.16,0.95,0.49,3.15,1.4146,5.14,AGHOL
2025-12-31,26.84,87.25,7.77,0.94,0.78,-1.8,-0.8458,-8.6,AGHOL
2024-06-30,,,,,,,,,AHGAZ
2024-09-30,7.97,167.0,9.68,1.02,0.32,-1.8,-0.163,-33.9,AHGAZ
