Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-03-31,53.88,64.03,0.05,3.66,-0.07,3.36,GOOGL
2020-06-30,51.55,67.67,0.03,3.41,-0.03,3.36,GOOGL
2020-09-30,54.27,55.25,0.1,3.41,0.09,5.28,GOOGL
2020-12-31,54.16,49.21,0.09,3.07,0.0,6.84,GOOGL
2021-03-31,56.43,47.34,0.14,3.1,0.01,7.8,GOOGL
2021-06-30,57.62,45.7,0.12,3.15,0.04,7.8,GOOGL
2021-09-30,57.58,43.91,0.12,2.98,0.04,7.74,GOOGL
2021-12-31,56.21,48.31,0.16,2.93,0.07,8.2,GOOGL
2022-03-31,56.48,47.69,0.12,2.87,0.08,6.47,GOOGL
2022-06-30,56.8,50.85,0.12,2.81,0.12,6.26,GOOGL
2022-09-30,54.9,54.83,0.15,2.52,0.09,5.48,GOOGL
2022-12-31,53.53,55.39,0.12,2.38,0.09,5.32,GOOGL
2023-03-31,56.14,55.55,0.11,2.35,0.04,5.77,GOOGL
2023-06-30,57.22,48.84,0.06,2.17,0.03,6.88,GOOGL
2023-09-30,56.67,50.89,0.15,2.04,-0.02,7.21,GOOGL
2023-12-31,56.47,51.38,0.08,2.1,0.03,7.3,GOOGL
2024-03-31,58.14,45.6,0.12,2.15,0.03,8.08,GOOGL
2024-06-30,58.1,44.3,0.08,2.08,0.0,7.85,GOOGL
2024-09-30,58.68,44.93,0.06,1.95,0.05,8.37,GOOGL
2024-12-31,57.9,44.55,0.05,1.84,0.01,8.16,GOOGL
2025-03-31,59.7,43.19,0.04,1.77,0.0,10.0,GOOGL
2025-06-30,59.51,45.51,0.27,1.9,0.09,7.77,GOOGL
2025-09-30,59.58,48.79,0.14,1.75,0.05,9.04,GOOGL
2025-12-31,59.82,47.16,0.38,2.01,0.23,8.3,GOOGL
