Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-03-28,60.6,41.43,0.68,1.74,0.7,7.41,INTC
2020-06-27,53.26,45.69,0.94,1.97,0.84,6.22,INTC
2020-09-26,53.13,48.06,0.87,1.66,1.02,5.74,INTC
2020-12-31,55.78,48.57,0.74,1.91,0.72,7.23,INTC
2021-03-27,55.17,45.61,0.97,1.9,1.1,4.21,INTC
2021-06-26,57.08,47.42,0.66,1.99,0.88,5.94,INTC
2021-09-25,55.99,51.36,0.75,2.07,0.81,7.57,INTC
2021-12-31,53.63,54.42,0.65,2.1,0.99,4.85,INTC
2022-04-02,50.37,53.04,0.68,2.13,0.59,7.87,INTC
2022-07-02,36.47,112.53,0.71,1.86,3.3,-0.45,INTC
2022-10-01,42.61,102.68,0.74,1.77,2.75,1.02,INTC
2022-12-31,39.17,120.58,1.06,1.57,2.93,-0.65,INTC
2023-04-01,34.21,136.63,1.65,1.76,7.5,-2.81,INTC
2023-07-01,35.82,121.91,1.65,1.6,6.08,1.47,INTC
2023-09-30,42.51,100.13,1.44,1.53,3.97,0.29,INTC
2023-12-31,45.74,63.32,1.73,1.54,1.89,2.53,INTC
2024-03-30,41.0,120.49,2.03,1.57,5.45,-0.36,INTC
2024-06-29,35.43,143.19,2.29,1.59,12.15,-1.4,INTC
2024-09-28,15.03,553.53,1.58,1.31,-1.98,-16.72,INTC
2024-12-28,39.16,92.62,1.37,1.33,3.0,-0.13,INTC
2025-03-29,36.88,106.44,2.36,1.31,4.32,-0.82,INTC
2025-06-28,27.54,189.67,1.77,1.24,21.82,-2.98,INTC
2025-09-27,38.22,86.91,2.07,1.6,1.13,3.82,INTC
2025-12-27,36.15,88.87,2.07,2.02,2.21,-0.52,INTC
