Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-03-31,80.5,58.73,,4.6,-0.44,4.66,META
2020-06-30,79.51,59.87,,6.02,-0.34,4.69,META
2020-09-30,80.47,53.46,,5.51,-0.03,6.66,META
2020-12-31,81.44,44.12,,5.05,-0.12,8.75,META
2021-03-31,80.39,45.92,,6.08,-0.15,7.11,META
2021-06-30,81.43,47.77,,5.43,-0.07,7.52,META
2021-09-30,80.11,55.15,,4.23,-0.04,6.89,META
2021-12-31,81.15,53.94,,3.15,-0.05,8.24,META
2022-03-31,78.48,61.08,0.02,2.81,-0.02,6.06,META
2022-06-30,81.99,64.63,0.02,2.52,0.08,5.32,META
2022-09-30,79.38,74.25,0.23,2.57,0.37,3.54,META
2022-12-31,74.08,73.15,0.34,2.2,0.34,3.7,META
2023-03-31,78.68,67.93,0.19,2.07,0.41,4.57,META
2023-06-30,81.42,63.95,0.36,2.32,0.15,5.81,META
2023-09-30,81.81,50.79,0.41,2.57,-0.01,8.11,META
2023-12-31,80.82,49.46,0.34,2.67,-0.06,9.15,META
2024-03-31,81.79,53.65,0.35,2.68,0.08,8.27,META
2024-06-30,81.3,53.26,0.33,2.83,0.08,8.59,META
2024-09-30,81.83,47.76,0.51,2.73,0.06,9.54,META
2024-12-31,81.73,40.92,0.52,2.98,0.05,11.41,META
2025-03-31,82.11,49.47,0.57,2.66,0.23,9.0,META
2025-06-30,82.13,47.62,0.51,1.97,0.37,9.4,META
2025-09-30,82.03,51.15,0.44,1.98,0.38,1.4,META
2025-12-31,81.79,49.49,1.18,2.6,0.38,10.48,META
