Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-03-31,68.66,46.04,1.75,2.9,1.09,9.39,MSFT
2020-06-30,67.56,47.82,1.8,2.52,0.97,9.47,MSFT
2020-09-30,70.39,39.29,1.59,2.53,0.85,11.26,MSFT
2020-12-31,67.05,38.03,1.33,2.58,0.79,11.87,MSFT
2021-03-31,68.72,40.52,1.52,2.29,0.81,11.49,MSFT
2021-06-30,69.68,40.63,1.2,2.08,0.73,11.59,MSFT
2021-09-30,69.89,36.1,1.19,2.16,0.62,13.49,MSFT
2021-12-31,67.21,36.01,1.01,2.25,0.56,11.73,MSFT
2022-03-31,68.37,39.65,1.02,1.99,0.67,10.27,MSFT
2022-06-30,68.32,42.05,0.96,1.78,0.65,10.05,MSFT
2022-09-30,69.17,37.93,1.0,1.84,0.55,10.11,MSFT
2022-12-31,66.85,42.15,0.93,1.93,0.64,8.97,MSFT
2023-03-31,69.49,39.14,0.94,1.91,0.49,9.4,MSFT
2023-06-30,70.11,38.43,0.86,1.77,0.38,9.74,MSFT
2023-09-30,71.16,33.12,0.93,1.66,0.2,10.1,MSFT
2023-12-31,68.36,36.24,1.47,1.22,0.7,9.18,MSFT
2024-03-31,70.08,36.38,1.29,1.24,0.65,8.67,MSFT
2024-06-30,69.59,38.0,1.08,1.27,0.58,8.21,MSFT
2024-09-30,69.35,32.83,0.89,1.3,0.5,8.57,MSFT
2024-12-31,68.69,33.83,0.85,1.35,0.58,7.96,MSFT
2025-03-31,68.72,33.54,0.85,1.37,0.47,8.02,MSFT
2025-06-30,68.58,34.53,0.8,1.35,0.46,7.93,MSFT
2025-09-30,69.05,29.22,0.9,1.4,0.48,7.64,MSFT
2025-12-31,68.04,30.78,0.91,1.39,0.43,9.84,MSFT
