Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-03-31,37.59,55.8,3.19,0.82,0.8,8.43,NFLX
2020-06-30,40.74,45.78,5.24,1.12,0.66,7.72,NFLX
2020-09-30,39.9,48.8,7.05,1.24,0.6,7.64,NFLX
2020-12-31,37.31,61.51,6.74,1.25,0.65,4.9,NFLX
2021-03-31,46.0,40.52,2.71,1.27,0.47,13.25,NFLX
2021-06-30,45.27,44.41,3.46,1.23,0.54,9.76,NFLX
2021-09-30,43.79,46.44,2.54,1.17,0.54,9.46,NFLX
2021-12-31,32.04,74.42,2.46,0.95,0.66,3.83,NFLX
2022-03-31,45.54,44.97,2.38,1.05,0.52,9.11,NFLX
2022-06-30,41.15,51.87,2.2,1.05,0.54,7.55,NFLX
2022-09-30,39.58,51.13,2.18,1.14,0.47,6.81,NFLX
2022-12-31,31.18,77.54,2.17,1.17,0.69,0.27,NFLX
2023-03-31,41.14,48.95,3.01,1.26,0.49,5.98,NFLX
2023-06-30,42.92,48.0,2.14,1.33,0.44,6.52,NFLX
2023-09-30,42.27,46.93,2.06,1.29,0.41,7.59,NFLX
2023-12-31,39.91,57.56,1.98,1.12,0.47,4.56,NFLX
2024-03-31,46.89,40.08,1.85,1.07,0.36,10.92,NFLX
2024-06-30,45.87,40.64,1.76,0.95,0.38,9.71,NFLX
2024-09-30,47.89,38.16,2.1,1.13,0.41,10.4,NFLX
2024-12-31,43.71,49.26,1.88,1.22,0.39,7.55,NFLX
2025-03-31,50.08,36.61,1.75,1.2,0.35,12.03,NFLX
2025-06-30,51.93,34.4,1.65,1.34,0.2,12.53,NFLX
2025-09-30,46.45,39.24,1.52,1.33,0.18,9.81,NFLX
2025-12-31,45.87,46.52,1.95,1.19,0.17,9.09,NFLX
