Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-03-31,20.62,77.07,2.82,1.24,2.25,0.17,TSLA
2020-06-30,20.99,74.19,2.82,1.25,1.93,1.06,TSLA
2020-09-30,23.52,60.79,1.86,1.63,0.12,1.87,TSLA
2020-12-31,19.23,72.17,2.29,1.88,-1.23,1.08,TSLA
2021-03-31,21.32,73.18,0.95,1.66,-0.92,1.9,TSLA
2021-06-30,24.12,54.51,0.63,1.51,-0.62,4.6,TSLA
2021-09-30,26.6,45.25,0.92,1.39,-0.54,5.98,TSLA
2021-12-31,27.35,46.09,0.4,1.38,-0.61,7.69,TSLA
2022-03-31,29.11,34.01,0.33,1.35,-0.57,9.73,TSLA
2022-06-30,25.0,41.8,0.26,1.43,-0.85,6.21,TSLA
2022-09-30,25.09,31.48,0.25,1.46,-0.74,8.26,TSLA
2022-12-31,23.76,32.47,0.14,1.53,-0.52,8.31,TSLA
2023-03-31,19.34,40.94,0.12,1.57,-0.68,5.23,TSLA
2023-06-30,18.19,47.08,0.11,1.59,-0.58,5.29,TSLA
2023-09-30,17.89,57.78,0.16,1.69,-0.58,3.47,TSLA
2023-12-31,17.63,53.49,0.24,1.73,-0.49,12.66,TSLA
2024-03-31,17.35,68.32,0.36,1.72,-0.16,2.16,TSLA
2024-06-30,17.95,64.94,0.34,1.91,-0.16,2.11,TSLA
2024-09-30,19.84,45.63,0.37,1.84,-0.32,3.1,TSLA
2024-12-31,16.26,62.12,0.37,2.02,-0.14,3.17,TSLA
2025-03-31,16.31,87.35,0.47,2.0,-0.38,0.55,TSLA
2025-06-30,17.24,76.2,0.38,2.04,-0.2,1.52,TSLA
2025-09-30,17.99,67.87,0.27,2.07,0.01,1.72,TSLA
2025-12-31,20.12,71.87,0.34,2.16,-0.7,1.02,TSLA
