Brut_Kar_Marji_%,BKM_Gecti,FaalGid_BrutKar_%,FGBK_Gecti,FinansGid_Gelir_%,FGG_Gecti,Cari_Oran,CO_Gecti,NetBorc_FAVOK,NB_Gecti,ROE_%,ROE_Gecti,Toplam_Puan,Maks_Puan,Hisse,Borsa,FK_Orani,FK_Gecti,EPS_Surekli_Artis,Icsel_Deger
53.55,EVET,18.41,EVET,0.1,EVET,1.68,EVET,-0.48,EVET,29.33,EVET,6,8,UCL,NASDAQ,,,,
80.25,EVET,26.02,EVET,3.06,EVET,1.77,EVET,0.03,EVET,44.56,EVET,6,8,RPGL,NASDAQ,,,,
75.0,EVET,13.3,EVET,0.11,EVET,3.91,HAYIR,0.0,EVET,27.31,EVET,5,8,NVDA,NASDAQ,,,,
80.03,EVET,48.68,HAYIR,10.39,EVET,1.79,EVET,3.14,EVET,148.86,EVET,5,8,CCSI,NASDAQ,,,,
49.67,EVET,23.69,EVET,0.77,EVET,2.52,HAYIR,0.08,EVET,22.77,EVET,5,8,GOAI,NASDAQ,,,,
-684.77,HAYIR,-230.07,EVET,2.66,EVET,1.57,EVET,0.06,EVET,646.78,EVET,5,8,NUAIW,NASDAQ,,,,
83.03,EVET,108.23,HAYIR,7.16,EVET,1.86,EVET,-23.67,EVET,161.46,EVET,5,8,BDSX,NASDAQ,,,,
88.93,EVET,13.51,EVET,3.09,EVET,3.32,HAYIR,0.2,EVET,51.64,EVET,5,8,APP,NASDAQ,,,,
97.94,EVET,22.51,EVET,3.79,EVET,1.86,EVET,3.61,EVET,4.71,HAYIR,5,8,JAZZ,NASDAQ,,,,
-23.51,HAYIR,-36.92,EVET,12.29,EVET,1.76,EVET,0.16,EVET,28.16,EVET,5,8,PASEU,BIST,20.57,HAYIR,HAYIR,145.4
48.95,EVET,8.07,EVET,0.09,EVET,20.15,HAYIR,-0.03,EVET,24.18,EVET,5,8,GLPG,NASDAQ,,,,
78.22,EVET,4.1,EVET,0.17,EVET,1.64,EVET,-0.27,EVET,1.18,HAYIR,5,8,PAGYO,BIST,13.96,HAYIR,HAYIR,182.01
26.41,HAYIR,29.08,EVET,11.2,EVET,1.04,HAYIR,0.59,EVET,20.48,EVET,5,8,OZSUB,BIST,3.9,HAYIR,EVET,151.9
-684.77,HAYIR,-230.07,EVET,2.66,EVET,1.57,EVET,0.06,EVET,646.78,EVET,5,8,NUAI,NASDAQ,,,,
41.63,EVET,28.06,EVET,2.55,EVET,1.12,HAYIR,1.02,EVET,129.19,EVET,5,8,STX,NASDAQ,,,,
59.6,EVET,26.86,EVET,7.31,EVET,1.2,HAYIR,1.71,EVET,63.82,EVET,5,8,VRSK,NASDAQ,,,,
40.94,EVET,26.83,EVET,3.08,EVET,1.68,EVET,2.49,EVET,6.33,HAYIR,5,8,EHLD,NASDAQ,,,,
89.61,EVET,86.2,HAYIR,14.64,EVET,1.75,EVET,3.2,EVET,50.44,EVET,5,8,TREE,NASDAQ,,,,
44.47,EVET,97.51,HAYIR,8.03,EVET,1.5,EVET,-0.09,EVET,42.42,EVET,5,8,TYGO,NASDAQ,,,,
100.0,EVET,-8705.7,EVET,-689.64,EVET,1.06,HAYIR,-0.22,EVET,145.54,EVET,5,8,OCGN,NASDAQ,,,,
46.45,EVET,59.39,HAYIR,0.02,EVET,1.65,EVET,-0.54,EVET,21.16,EVET,5,8,SONO,NASDAQ,,,,
99.08,EVET,9.62,EVET,0.49,EVET,3.91,HAYIR,0.05,EVET,21.54,EVET,5,8,ICUGS,BIST,2.04,HAYIR,HAYIR,33.91
99.83,EVET,14.48,EVET,0.37,EVET,4.85,HAYIR,-0.2,EVET,137.41,EVET,5,8,QTTB,NASDAQ,,,,
78.45,EVET,108.75,HAYIR,11.74,EVET,1.7,EVET,-39.63,EVET,31.26,EVET,5,8,MNKD,NASDAQ,,,,
85.97,EVET,138.61,HAYIR,2.39,EVET,1.43,HAYIR,-0.22,EVET,317.33,EVET,4,8,ECOR,NASDAQ,,,,
75.88,EVET,214.33,HAYIR,5.7,EVET,1.7,EVET,-0.61,EVET,-11.77,HAYIR,4,8,ASRT,NASDAQ,,,,
48.06,EVET,59.3,HAYIR,0.11,EVET,1.07,HAYIR,0.18,EVET,33.15,EVET,4,8,RYET,NASDAQ,,,,
51.55,EVET,45.58,HAYIR,9.7,EVET,0.79,HAYIR,-0.11,EVET,21.44,EVET,4,8,RRR,NASDAQ,,,,
-9.22,HAYIR,-920.51,EVET,1.92,EVET,1.7,EVET,-1.55,EVET,-103.51,HAYIR,4,8,ZDAI,NASDAQ,,,,
68.15,EVET,45.57,HAYIR,0.46,EVET,1.84,EVET,-0.57,EVET,8.05,HAYIR,4,8,MKTX,NASDAQ,,,,
62.27,EVET,7.89,EVET,4.12,EVET,0.97,HAYIR,0.37,EVET,-7.48,HAYIR,4,8,AUGO,NASDAQ,,,,
46.0,EVET,59.14,HAYIR,0.27,EVET,1.93,EVET,-0.74,EVET,6.7,HAYIR,4,8,GLBE,NASDAQ,,,,
-45.59,HAYIR,-350.47,EVET,,,1.89,EVET,0.01,EVET,99.02,EVET,4,8,ADSEW,NASDAQ,,,,
-0.48,HAYIR,-17300.0,EVET,0.12,EVET,1.98,EVET,0.15,EVET,-18.36,HAYIR,4,8,BEEM,NASDAQ,,,,
-542.36,HAYIR,-5604.93,EVET,14.86,EVET,0.91,HAYIR,-0.16,EVET,203.22,EVET,4,8,TDTH,NASDAQ,,,,
58.11,EVET,77.23,HAYIR,2.09,EVET,7.14,HAYIR,-0.14,EVET,22.27,EVET,4,8,TMDX,NASDAQ,,,,
79.48,EVET,73.96,HAYIR,0.02,EVET,1.33,HAYIR,-0.3,EVET,29.79,EVET,4,8,PEGA,NASDAQ,,,,
-7.11,HAYIR,-80.24,EVET,5.95,EVET,0.32,HAYIR,-0.12,EVET,169.04,EVET,4,8,PIII,NASDAQ,,,,
1662.69,EVET,-74.68,EVET,-5.35,EVET,1.01,HAYIR,-2.75,EVET,-155.78,HAYIR,4,8,ZSTK,NASDAQ,,,,
-156.25,HAYIR,-35820.0,EVET,12.5,EVET,1.89,EVET,0.05,EVET,-9.51,HAYIR,4,8,SERA,NASDAQ,,,,
62.47,EVET,28.5,EVET,0.06,EVET,25.01,HAYIR,-4.86,EVET,1.13,HAYIR,4,8,GDHG,NASDAQ,,,,
82.11,EVET,259.91,HAYIR,4.5,EVET,1.71,EVET,-0.53,EVET,-31.74,HAYIR,4,8,BDMD,NASDAQ,,,,
94.28,EVET,24.04,EVET,4.0,EVET,6.86,HAYIR,0.17,EVET,3.31,HAYIR,4,8,ACT,NASDAQ,,,,
53.22,EVET,369.84,HAYIR,14.78,EVET,1.63,EVET,-0.1,EVET,-51.78,HAYIR,4,8,EKSO,NASDAQ,,,,
47.77,EVET,83.65,HAYIR,0.83,EVET,1.73,EVET,3.27,EVET,1.06,HAYIR,4,8,BRKR,NASDAQ,,,,
-23.09,HAYIR,-38.12,EVET,8.04,EVET,1.19,HAYIR,3.49,EVET,20.22,EVET,4,8,KLXE,NASDAQ,,,,
23.23,HAYIR,-694.95,EVET,-109.39,EVET,2.22,HAYIR,0.78,EVET,255.82,EVET,4,8,ELUT,NASDAQ,,,,
325740.0,EVET,-15.57,EVET,-14120.0,EVET,3.25,HAYIR,-16.05,EVET,-21.15,HAYIR,4,8,VRM,NASDAQ,,,,
-9.3,HAYIR,-30837.5,EVET,506.98,HAYIR,1.69,EVET,-0.98,EVET,40.2,EVET,4,8,LOOP,NASDAQ,,,,
50.84,EVET,174.2,HAYIR,0.87,EVET,1.36,HAYIR,0.0,EVET,32.59,EVET,4,8,STEP,NASDAQ,,,,
40.68,EVET,27.87,EVET,13.22,EVET,4.45,HAYIR,2.5,EVET,2.14,HAYIR,4,8,PXS,NASDAQ,,,,
49.19,EVET,61.03,HAYIR,4.16,EVET,1.55,EVET,3.76,EVET,0.83,HAYIR,4,8,FTDR,NASDAQ,,,,
44.48,EVET,50.62,HAYIR,,,1.82,EVET,-0.67,EVET,21.21,EVET,4,8,ACCL,NASDAQ,,,,
46.18,EVET,7.91,EVET,0.69,EVET,2.08,HAYIR,-0.12,EVET,5.26,HAYIR,4,8,SSRM,NASDAQ,,,,
2.45,HAYIR,-15454.76,EVET,-10.26,EVET,0.04,HAYIR,-6.47,EVET,45.42,EVET,4,8,XHG,NASDAQ,,,,
46.99,EVET,84.32,HAYIR,5.29,EVET,1.75,EVET,39.78,HAYIR,126.77,EVET,4,8,CDLX,NASDAQ,,,,
42.75,EVET,306.11,HAYIR,7.91,EVET,0.85,HAYIR,0.06,EVET,43.3,EVET,4,8,MDAI,NASDAQ,,,,
69.81,EVET,12.04,EVET,5.03,EVET,0.52,HAYIR,1.2,EVET,4.65,HAYIR,4,8,VCTR,NASDAQ,,,,
57.93,EVET,114.31,HAYIR,0.54,EVET,2.19,HAYIR,-0.04,EVET,187.36,EVET,4,8,ZEO,NASDAQ,,,,
69.34,EVET,37.54,HAYIR,1.86,EVET,1.78,EVET,0.04,EVET,6.65,HAYIR,4,8,HLNE,NASDAQ,,,,
93.71,EVET,116.02,HAYIR,0.6,EVET,1.55,EVET,0.83,EVET,-32.34,HAYIR,4,8,AXSM,NASDAQ,,,,
65.47,EVET,5047.26,HAYIR,346.88,HAYIR,1.62,EVET,-0.2,EVET,368.55,EVET,4,8,HUMAW,NASDAQ,,,,
51.27,EVET,70.17,HAYIR,1.65,EVET,1.81,EVET,0.85,EVET,2.24,HAYIR,4,8,NWS,NASDAQ,,,,
82.16,EVET,29.43,EVET,8.36,EVET,1.3,HAYIR,1.25,EVET,-133.42,HAYIR,4,8,GP,NASDAQ,,,,
50.58,EVET,63.97,HAYIR,1.47,EVET,1.81,EVET,0.32,EVET,1.38,HAYIR,4,8,NWSA,NASDAQ,,,,
43.91,EVET,149.38,HAYIR,8.87,EVET,1.7,EVET,-25.44,EVET,-13.06,HAYIR,4,8,WALDW,NASDAQ,,,,
40.98,EVET,56.63,HAYIR,2.45,EVET,0.7,HAYIR,2.59,EVET,24.44,EVET,4,8,WMG,NASDAQ,,,,
64.42,EVET,195.73,HAYIR,0.38,EVET,1.83,EVET,0.26,EVET,-24.95,HAYIR,4,8,EEIQ,NASDAQ,,,,
47.76,EVET,15.84,EVET,1.28,EVET,2.46,HAYIR,0.29,EVET,10.76,HAYIR,4,8,MASK,NASDAQ,,,,
69.82,EVET,167.28,HAYIR,14.69,EVET,1.37,HAYIR,0.65,EVET,46.68,EVET,4,8,KIDZ,NASDAQ,,,,
-4.85,HAYIR,-3654.43,EVET,0.21,EVET,0.75,HAYIR,-0.01,EVET,600.42,EVET,4,8,JZ,NASDAQ,,,,
57.75,EVET,108.0,HAYIR,9.17,EVET,0.74,HAYIR,-3.09,EVET,42.83,EVET,4,8,MEHA,NASDAQ,,,,
51.17,EVET,206.56,HAYIR,3.48,EVET,0.68,HAYIR,-0.29,EVET,31.34,EVET,4,8,ZSPC,NASDAQ,,,,
43.82,EVET,76.07,HAYIR,3.09,EVET,1.75,EVET,-2.4,EVET,2.54,HAYIR,4,8,GRAB,NASDAQ,,,,
41.65,EVET,29.35,EVET,1.24,EVET,0.85,HAYIR,2.98,EVET,12.37,HAYIR,4,8,HTHT,NASDAQ,,,,
44.0,EVET,177.67,HAYIR,2.34,EVET,1.83,EVET,-1.64,EVET,-6.62,HAYIR,4,8,IPW,NASDAQ,,,,
57.93,EVET,114.31,HAYIR,0.54,EVET,2.19,HAYIR,-0.04,EVET,187.36,EVET,4,8,ZEOWW,NASDAQ,,,,
58.1,EVET,538.68,HAYIR,10.63,EVET,0.68,HAYIR,-0.38,EVET,91.94,EVET,4,8,AIXI,NASDAQ,,,,
