Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,Cari_Oran,NetBorc_FAVOK,ROE_%,FinansGid_Gelir_%,Hisse
2020-03-28,38.36,42.54,1.5,1.18,14.34,1.3,AAPL
2020-06-27,38.0,42.28,1.47,1.34,15.57,1.17,AAPL
2020-09-26,38.16,40.16,1.36,1.16,19.4,0.98,AAPL
2020-12-26,39.78,24.35,1.16,0.52,43.42,0.57,AAPL
2021-03-27,42.51,27.77,1.14,0.66,34.16,0.75,AAPL
2021-06-26,43.29,31.57,1.06,0.79,33.83,0.82,AAPL
2021-09-25,42.2,32.38,1.07,0.94,32.57,0.81,AAPL
2021-12-25,43.76,23.51,1.04,0.48,48.14,0.56,AAPL
2022-03-26,43.75,29.56,0.93,0.68,37.11,0.71,AAPL
2022-06-25,43.26,35.69,0.86,0.87,33.46,0.87,AAPL
2022-09-24,42.26,34.65,0.88,0.96,40.89,0.92,AAPL
2022-12-31,42.96,28.44,0.94,0.57,52.88,0.86,AAPL
2023-04-01,44.26,32.54,0.94,0.66,38.87,0.98,AAPL
2023-07-01,44.52,36.84,0.98,0.75,32.98,1.22,AAPL
2023-09-30,45.17,33.29,0.99,0.77,36.94,1.12,AAPL
2023-12-30,45.87,26.4,1.07,0.39,45.77,,AAPL
2024-03-30,46.58,34.0,1.04,0.58,31.86,,AAPL
2024-06-29,46.26,36.11,0.95,0.67,32.15,,AAPL
2024-09-28,46.22,32.56,0.87,0.69,25.88,,AAPL
2024-12-28,46.88,26.5,0.92,0.36,54.42,,AAPL
2025-03-29,47.05,34.05,0.82,0.55,37.1,,AAPL
2025-06-28,46.49,35.49,0.87,0.53,35.6,,AAPL
2025-09-27,47.18,32.92,0.89,0.53,37.25,,AAPL
2025-12-27,48.16,26.55,0.97,0.21,47.73,,AAPL
2020-03-31,68.66,46.04,2.9,1.09,9.39,1.75,MSFT
2020-06-30,67.56,47.82,2.52,0.97,9.47,1.8,MSFT
2020-09-30,70.39,39.29,2.53,0.85,11.26,1.59,MSFT
2020-12-31,67.05,38.03,2.58,0.79,11.87,1.33,MSFT
2021-03-31,68.72,40.52,2.29,0.81,11.49,1.52,MSFT
2021-06-30,69.68,40.63,2.08,0.73,11.59,1.2,MSFT
2021-09-30,69.89,36.1,2.16,0.62,13.49,1.19,MSFT
2021-12-31,67.21,36.01,2.25,0.56,11.73,1.01,MSFT
2022-03-31,68.37,39.65,1.99,0.67,10.27,1.02,MSFT
2022-06-30,68.32,42.05,1.78,0.65,10.05,0.96,MSFT
2022-09-30,69.17,37.93,1.84,0.55,10.11,1.0,MSFT
2022-12-31,66.85,42.15,1.93,0.64,8.97,0.93,MSFT
2023-03-31,69.49,39.14,1.91,0.49,9.4,0.94,MSFT
2023-06-30,70.11,38.43,1.77,0.38,9.74,0.86,MSFT
2023-09-30,71.16,33.12,1.66,0.2,10.1,0.93,MSFT
2023-12-31,68.36,36.24,1.22,0.7,9.18,1.47,MSFT
2024-03-31,70.08,36.38,1.24,0.65,8.67,1.29,MSFT
2024-06-30,69.59,38.0,1.27,0.58,8.21,1.08,MSFT
2024-09-30,69.35,32.83,1.3,0.5,8.57,0.89,MSFT
2024-12-31,68.69,33.83,1.35,0.58,7.96,0.85,MSFT
2025-03-31,68.72,33.54,1.37,0.47,8.02,0.85,MSFT
2025-06-30,68.58,34.53,1.35,0.46,7.93,0.8,MSFT
2025-09-30,69.05,29.22,1.4,0.48,7.64,0.9,MSFT
2025-12-31,68.04,30.78,1.39,0.43,9.84,0.91,MSFT
2020-03-31,53.88,64.03,3.66,-0.07,3.36,0.05,GOOGL
2020-06-30,51.55,67.67,3.41,-0.03,3.36,0.03,GOOGL
2020-09-30,54.27,55.25,3.41,0.09,5.28,0.1,GOOGL
2020-12-31,54.16,49.21,3.07,0.0,6.84,0.09,GOOGL
2021-03-31,56.43,47.34,3.1,0.01,7.8,0.14,GOOGL
2021-06-30,57.62,45.7,3.15,0.04,7.8,0.12,GOOGL
2021-09-30,57.58,43.91,2.98,0.04,7.74,0.12,GOOGL
2021-12-31,56.21,48.31,2.93,0.07,8.2,0.16,GOOGL
2022-03-31,56.48,47.69,2.87,0.08,6.47,0.12,GOOGL
2022-06-30,56.8,50.85,2.81,0.12,6.26,0.12,GOOGL
2022-09-30,54.9,54.83,2.52,0.09,5.48,0.15,GOOGL
2022-12-31,53.53,55.39,2.38,0.09,5.32,0.12,GOOGL
2023-03-31,56.14,55.55,2.35,0.04,5.77,0.11,GOOGL
2023-06-30,57.22,48.84,2.17,0.03,6.88,0.06,GOOGL
2023-09-30,56.67,50.89,2.04,-0.02,7.21,0.15,GOOGL
2023-12-31,56.47,51.38,2.1,0.03,7.3,0.08,GOOGL
2024-03-31,58.14,45.6,2.15,0.03,8.08,0.12,GOOGL
2024-06-30,58.1,44.3,2.08,0.0,7.85,0.08,GOOGL
2024-09-30,58.68,44.93,1.95,0.05,8.37,0.06,GOOGL
2024-12-31,57.9,44.55,1.84,0.01,8.16,0.05,GOOGL
2025-03-31,59.7,43.19,1.77,0.0,10.0,0.04,GOOGL
2025-06-30,59.51,45.51,1.9,0.09,7.77,0.27,GOOGL
2025-09-30,59.58,48.79,1.75,0.05,9.04,0.14,GOOGL
2025-12-31,59.82,47.16,2.01,0.23,8.3,0.38,GOOGL
2020-03-31,41.34,87.21,1.08,1.0,3.88,0.53,AMZN
2020-06-30,40.77,83.88,1.18,0.78,7.11,0.45,AMZN
2020-09-30,40.6,84.13,1.11,0.94,7.65,0.45,AMZN
2020-12-31,36.85,85.15,1.05,0.67,7.73,0.33,AMZN
2021-03-31,42.5,80.78,1.05,0.7,7.85,0.37,AMZN
2021-06-30,43.25,84.25,1.2,0.97,6.78,0.38,AMZN
2021-09-30,43.21,89.87,1.12,1.53,2.62,0.44,AMZN
2021-12-31,39.72,93.66,1.14,0.79,10.36,0.35,AMZN
2022-03-31,42.89,92.65,0.96,4.37,-2.87,0.41,AMZN
2022-06-30,45.21,93.95,0.95,2.85,-1.54,0.48,AMZN
2022-09-30,44.71,95.56,0.94,1.68,2.09,0.49,AMZN
2022-12-31,42.6,95.69,0.94,1.67,0.19,0.47,AMZN
2023-03-31,46.77,91.99,0.92,1.43,2.05,0.65,AMZN
2023-06-30,48.38,88.18,0.95,1.12,4.0,0.63,AMZN
2023-09-30,47.57,83.56,0.98,0.87,5.4,0.56,AMZN
2023-12-31,45.54,82.94,1.05,0.55,5.26,0.42,AMZN
2024-03-31,49.32,78.34,1.07,0.61,4.81,0.45,AMZN
2024-06-30,50.14,80.22,1.1,0.55,5.7,0.4,AMZN
2024-09-30,49.03,77.65,1.09,0.46,5.91,0.38,AMZN
2024-12-31,47.34,76.15,1.06,0.34,7.0,0.3,AMZN
2025-03-31,50.55,76.61,1.05,0.46,5.6,0.35,AMZN
2025-06-30,51.81,77.94,1.02,0.52,5.44,0.31,AMZN
2025-09-30,50.79,80.96,1.01,0.38,5.73,0.3,AMZN
2025-12-31,48.47,75.85,1.05,0.35,5.16,0.32,AMZN
2020-01-26,64.9,50.87,7.67,-1.82,7.79,0.42,NVDA
2020-04-26,65.06,51.3,10.29,-1.78,7.0,0.81,NVDA
2020-07-26,58.85,71.38,6.09,1.04,4.47,1.4,NVDA
2020-10-25,62.63,52.77,3.92,0.8,8.71,1.12,NVDA
2021-01-31,63.08,52.25,4.09,0.95,8.62,1.06,NVDA
2021-05-02,64.11,46.1,4.53,0.71,10.18,0.94,NVDA
2021-08-01,64.78,42.02,5.8,0.65,11.23,0.92,NVDA
2021-10-31,65.2,42.32,7.14,0.88,10.35,0.87,NVDA
2022-01-30,65.41,40.59,6.65,0.76,11.28,0.8,NVDA
2022-05-01,65.53,65.6,5.32,0.88,6.15,0.82,NVDA
2022-07-31,43.48,82.88,3.62,2.36,2.75,0.97,NVDA
2022-10-30,53.57,81.08,3.39,2.06,3.19,1.1,NVDA
2023-01-29,63.34,67.23,3.52,1.22,6.4,1.06,NVDA
2023-04-30,64.63,53.96,3.43,0.66,8.33,0.92,NVDA
2023-07-30,70.05,28.13,2.79,0.17,22.5,0.48,NVDA
2023-10-29,73.95,22.26,3.59,0.13,27.79,0.35,NVDA
2024-01-28,75.97,18.92,4.17,0.06,28.58,0.29,NVDA
2024-04-28,78.35,17.14,3.53,0.05,30.28,0.25,NVDA
2024-07-28,75.15,17.42,4.27,0.02,28.54,0.2,NVDA
2024-10-27,74.56,16.39,4.1,0.01,29.3,0.17,NVDA
2025-01-26,73.03,16.32,4.44,0.02,27.85,0.16,NVDA
2025-04-27,60.52,18.86,3.39,-0.05,22.39,0.14,NVDA
2025-07-27,72.42,15.99,4.21,-0.01,26.39,0.13,NVDA
2025-10-26,73.41,13.95,4.47,-0.0,26.84,0.11,NVDA
2026-01-25,75.0,13.3,3.91,0.0,27.31,0.11,NVDA
2020-03-31,20.62,77.07,1.24,2.25,0.17,2.82,TSLA
2020-06-30,20.99,74.19,1.25,1.93,1.06,2.82,TSLA
2020-09-30,23.52,60.79,1.63,0.12,1.87,1.86,TSLA
2020-12-31,19.23,72.17,1.88,-1.23,1.08,2.29,TSLA
2021-03-31,21.32,73.18,1.66,-0.92,1.9,0.95,TSLA
2021-06-30,24.12,54.51,1.51,-0.62,4.6,0.63,TSLA
2021-09-30,26.6,45.25,1.39,-0.54,5.98,0.92,TSLA
2021-12-31,27.35,46.09,1.38,-0.61,7.69,0.4,TSLA
2022-03-31,29.11,34.01,1.35,-0.57,9.73,0.33,TSLA
2022-06-30,25.0,41.8,1.43,-0.85,6.21,0.26,TSLA
2022-09-30,25.09,31.48,1.46,-0.74,8.26,0.25,TSLA
2022-12-31,23.76,32.47,1.53,-0.52,8.31,0.14,TSLA
2023-03-31,19.34,40.94,1.57,-0.68,5.23,0.12,TSLA
2023-06-30,18.19,47.08,1.59,-0.58,5.29,0.11,TSLA
2023-09-30,17.89,57.78,1.69,-0.58,3.47,0.16,TSLA
2023-12-31,17.63,53.49,1.73,-0.49,12.66,0.24,TSLA
2024-03-31,17.35,68.32,1.72,-0.16,2.16,0.36,TSLA
2024-06-30,17.95,64.94,1.91,-0.16,2.11,0.34,TSLA
2024-09-30,19.84,45.63,1.84,-0.32,3.1,0.37,TSLA
2024-12-31,16.26,62.12,2.02,-0.14,3.17,0.37,TSLA
2025-03-31,16.31,87.35,2.0,-0.38,0.55,0.47,TSLA
2025-06-30,17.24,76.2,2.04,-0.2,1.52,0.38,TSLA
2025-09-30,17.99,67.87,2.07,0.01,1.72,0.27,TSLA
2025-12-31,20.12,71.87,2.16,-0.7,1.02,0.34,TSLA
2020-03-31,80.5,58.73,4.6,-0.44,4.66,,META
2020-06-30,79.51,59.87,6.02,-0.34,4.69,,META
2020-09-30,80.47,53.46,5.51,-0.03,6.66,,META
2020-12-31,81.44,44.12,5.05,-0.12,8.75,,META
2021-03-31,80.39,45.92,6.08,-0.15,7.11,,META
2021-06-30,81.43,47.77,5.43,-0.07,7.52,,META
2021-09-30,80.11,55.15,4.23,-0.04,6.89,,META
2021-12-31,81.15,53.94,3.15,-0.05,8.24,,META
2022-03-31,78.48,61.08,2.81,-0.02,6.06,0.02,META
